"Deck","Name","Cost","Rarity","Copies","Type","Starter","Unblock","Nome pt-BR","Minha Tradução","My Translation"
"Defect","Recursion","1","Common","2","Skill","","","Recorrência","Recursão (termo programação)","""Recursão"" preserves the ""Recursion"" programing concept. They've went with ""Recorrência"" which is ""Recurrence"""
"Defect","Scrape","1","Common","2","Attack","","","Raspar","",""
"Defect","Skim","1","Common","2","Skill","","","Folhear","",""
"Defect","Sweeping Beam","1","Common","2","Attack","","","Feixe de Varredura","",""
"Defect","TURBO","0","Common","2","Skill","","1","TURBO","",""
"Defect","Defend (Defect)","1","Common","4","Skill","TRUE","","Defender","",""
"Defect","Dualcast","1","Common","1","Skill","TRUE","","Evocação Dupla","",""
"Defect","Strike (Defect)","1","Common","4","Attack","TRUE","","Golpe","",""
"Defect","Zap","1","Common","1","Skill","TRUE","","Zap","",""
"Defect","All for One","2","Rare","1","Attack","","","Todos por um","",""
"Defect","Amplify","1","Rare","1","Power","","","Amplificar","",""
"Defect","Buffer","2","Rare","1","Power","","","Buffer","Felizmente não traduziram","Happily they didn't translate this one heh"
"Defect","Core Surge","1","Rare","1","Attack","","","Sobretensão de Núcleo","",""
"Defect","Defragment","3","Rare","1","Power","","2","Desfragmentar","",""
"Defect","Echo Form","3","Rare","1","Power","","1","Forma Ecoante","",""
"Defect","Electrodynamics","2","Rare","1","Power","","","Eletrodinâmica","",""
"Defect","Fission","0","Rare","1","Skill","","3","Fissão","",""
"Defect","Hyperbeam","2","Rare","1","Attack","","","Hiperraio","",""
"Defect","Meteor Strike","5","Rare","1","Attack","","","Impacto de Meteoro","",""
"Defect","Multi-Cast","","Rare","1","Skill","","","Evocação Múltipla","",""
"Defect","Rainbow","2","Rare","1","Skill","","","Arco-Íris","",""
"Defect","Seek","0","Rare","1","Skill","","","Procurar","",""
"Defect","Static Discharge","2","Rare","1","Power","","","Descarga Estática","",""
"Defect","Thunder Strike","3","Rare","1","Attack","","","Golpe de Trovão","",""
"Defect","Beam Cell","1","Uncommon","1","Attack","","","Feixe Celular","",""
"Defect","Blizzard","1","Uncommon","1","Attack","","","Nevasca","",""
"Defect","Capacitor","1","Uncommon","1","Power","","","Capacitor","",""
"Defect","Consume","2","Uncommon","1","Power","","2","Consumir","",""
"Defect","Darkness","1","Uncommon","1","Skill","","","Escuridão","",""
"Defect","Doom and Gloom","2","Uncommon","1","Attack","","","Ruína e Melancolia","",""
"Defect","Double Energy","1","Uncommon","1","Skill","","3","Energia Duplicada","",""
"Defect","Equilibrium","2","Uncommon","1","Skill","","3","Equilibrio","",""
"Defect","Force Field","3","Uncommon","1","Skill","","","Campo de Força","",""
"Defect","FTL","0","Uncommon","1","Attack","","","Superlumínica","Sério que eles fazem uma dessas e não fazem as óbvias?","I'm astounded they got this one right while messing the easier ones"
"Defect","Fusion","2","Uncommon","1","Power","","","Fusão","",""
"Defect","Glacier","2","Uncommon","1","Skill","","","Geleira","",""
"Defect","Heatsinks","1","Uncommon","1","Power","","2","Dissipador de Calor","",""
"Defect","Hologram","1","Uncommon","1","Skill","","","Holograma","",""
"Defect","Loop","1","Uncommon","1","Power","","","Ciclo","",""
"Defect","Machine Learning","1","Uncommon","1","Power","","","Aprendizado de Máquina","",""
"Defect","Melter","1","Uncommon","1","Attack","","","Derretedor","",""
"Defect","Overclock","0","Uncommon","1","Skill","","1","Overclock","",""
"Defect","Recycle","1","Uncommon","1","Skill","","3","Reciclar","",""
"Defect","Reinforced Body","","Uncommon","1","Skill","","","Corpo Reforçado","",""
"Defect","Reprogram","1","Uncommon","1","Skill","","","Reprogramar","",""
"Defect","Stack","1","Uncommon","1","Skill","","","Empilhar","Pilha (conceito de programação)","""Empilhar"" is the verb ""To Stack"". I think ""Pilha"" would be better, because it's just ""stack"" the substantive."
"Defect","Steam Barrier","0","Common","2","Skill","","","Barreira de Vapor","",""
"Defect","Storm","1","Uncommon","1","Power","","","Tempestade","",""
"Defect","Streamline","2","Uncommon","1","Attack","","","Linha de Fluxo","Streamline como verbo, então algo como ""Otimizar"".","""Otimizar"", which is portuguse for ""Optimize"" would make way more sense with the computer/programming theme. ""Linha de Fluxo"" is something more like ""Flow Line"". Guess they went for the card's art"
"Defect","Sunder","3","Uncommon","1","Attack","","1","Romper","",""
"Defect","Tempest","","Uncommon","1","Skill","","","Temporal","",""
"Ironclad","Golden Ticket (Ironclad)","","","1","Ticket","","","Bilhete Dourado","",""
"Ironclad","Golden Ticket 2 (Ironclad)","","","1","Ticket","","2","Bilhete Dourado","",""
"Ironclad","Anger","0","Common","2","Attack","","","Raiva","",""
"Ironclad","Body Slam","1","Common","2","Attack","","","Encontrão","",""
"Ironclad","Cleave","1","Common","2","Attack","","","Fender","",""
"Ironclad","Clothesline","2","Common","2","Attack","","","Varal","",""
"Ironclad","Flex","0","Common","2","Skill","","","Flexionar","",""
"Ironclad","Havoc","1","Common","2","Skill","","2","Devastar","",""
"Ironclad","Heavy Blade","2","Common","2","Attack","","","Lâmina Pesada","",""
"Ironclad","Iron Wave","1","Common","2","Attack","","","Onda de Ferro","",""
"Ironclad","Pommel Strike","1","Common","2","Attack","","","Golpe de Pomo","",""
"Ironclad","Seeing Red","1","Common","2","Skill","","","Cego de Raiva","",""
"Ironclad","Shrug It Off","1","Common","2","Skill","","","Dar De Ombros","",""
"Ironclad","True Grit","1","Common","2","Skill","","","Bravura Indomita","",""
"Ironclad","Twin Strike","1","Common","2","Attack","","","Golpe Duplo","",""
"Ironclad","Warcry","0","Common","2","Skill","","","Grito de Guerra","",""
"Ironclad","Wild Strike","1","Common","2","Attack","","","Golpe Selvagem","",""
"Ironclad","Bash","2","Common","1","Attack","TRUE","","Pancada","",""
"Ironclad","Defend (Ironclad)","1","Common","4","Skill","TRUE","","Defender","",""
"Ironclad","Strike (Ironclad)","1","Common","5","Attack","TRUE","","Golpe","",""
"Ironclad","Barricade","2","Rare","1","Power","","3","Barricada","",""
"Ironclad","Berserk","1","Rare","1","Power","","","Enfurecer","",""
"Ironclad","Bludgeon","3","Rare","1","Attack","","","Cacetada","",""
"Ironclad","Corruption","3","Rare","1","Power","","2","Corrupção","",""
"Ironclad","Demon Form","3","Rare","1","Power","","","Forma Demoníaca","",""
"Ironclad","Double Tap","1","Rare","1","Skill","","","Tiro Duplo","",""
"Ironclad","Exhume","1","Rare","1","Skill","","","Exumar","",""
"Ironclad","Feed","1","Rare","1","Attack","","","Comer","",""
"Ironclad","Fiend Fire","2","Rare","1","Attack","","","Chamas Demoníacas","",""
"Ironclad","Immolate","2","Rare","1","Attack","","1","Imolar","",""
"Ironclad","Impervious","2","Rare","1","Skill","","","Impenetrável","",""
"Ironclad","Juggernaut","2","Rare","1","Power","","","Jaganata","",""
"Ironclad","Limit Break","1","Rare","1","Skill","","","Quebra de Limites","",""
"Ironclad","Offering","0","Rare","1","Skill","","","Oferenda","",""
"Ironclad","Uppercut","2","Rare","1","Attack","","","Ganche","",""
"Ironclad","Battle Trance","0","Uncommon","1","Skill","","","Êxtase de Batalha","",""
"Ironclad","Blood for Blood","3","Uncommon","1","Attack","","","Sangue por Sangue","",""
"Ironclad","Burning Pact","1","Uncommon","1","Skill","","","Pacto Ardente","",""
"Ironclad","Carnage","2","Uncommon","1","Attack","","","Carnificina","",""
"Ironclad","Clash","0","Uncommon","1","Attack","","","Embate","",""
"Ironclad","Combust","1","Uncommon","1","Power","","","Combustão","",""
"Ironclad","Dark Embrace","2","Uncommon","1","Power","","3","Dark Embrace","",""
"Ironclad","Disarm","1","Uncommon","1","Skill","","","Desarmar","",""
"Ironclad","Entrench","1","Uncommon","1","Skill","","3","Entrincheirar","",""
"Ironclad","Evolve","1","Uncommon","1","Power","","1","Evoluir","",""
"Ironclad","Feel No Pain","1","Uncommon","1","Power","","","Não Sinta Dor","",""
"Ironclad","Fire Breathing","1","Uncommon","1","Power","","1","Sopro de Fogo","",""
"Ironclad","Flame Barrier","2","Uncommon","1","Skill","","","Barreira de Chamas","",""
"Ironclad","Ghostly Armor","1","Uncommon","1","Skill","","","Armadura Fantasmagórica","",""
"Ironclad","Headbutt","1","Uncommon","1","Attack","","","Cabeçada","",""
"Ironclad","Inflame","2","Uncommon","1","Power","","","Inflamar","",""
"Ironclad","Metallicize","1","Uncommon","1","Power","","","Metalizar","",""
"Ironclad","Perfected Strike","2","Uncommon","1","Attack","","","Golpe Aperfeiçoado","",""
"Ironclad","Power Through","1","Uncommon","1","Skill","","1","Resistir","",""
"Ironclad","Rage","1","Uncommon","1","Skill","","","Ira","",""
"Ironclad","Rampage","1","Uncommon","1","Attack","","2","Alvoroço","",""
"Ironclad","Rupture","1","Uncommon","1","Skill","","","Ruptura","",""
"Ironclad","Second Wind","1","Uncommon","1","Skill","","3","Fôlego Extra","",""
"Ironclad","Sentinel","1","Uncommon","1","Skill","","","Sentinela","",""
"Ironclad","Sever Soul","2","Uncommon","1","Attack","","","Romper a Alma","",""
"Ironclad","Shockwave","2","Uncommon","1","Skill","","","Onda de Choque","",""
"Ironclad","Spot Weakness","1","Uncommon","1","Skill","","","Encontrar Fraqueza","",""
"Ironclad","Whirlwind","","Uncommon","1","Attack","","","Redemoinho","",""
"Silent","Golden Ticket (Silent)","","","1","Ticket","","","Bilhete Dourado","",""
"Silent","Golden Ticket 2 (Silent)","","","1","Ticket","","2","Bilhete Dourado","",""
"Silent","Acrobatics","1","Common","2","Skill","","","Acrobacias","",""
"Silent","Backflip","1","Common","2","Skill","","","Cambalhota","",""
"Silent","Blade Dance","1","Common","2","Skill","","","Dança das Lâminas","",""
"Silent","Cloak and Dagger","1","Common","2","Skill","","","Manto e Adaga","",""
"Silent","Dagger Spray","1","Common","2","Attack","","","Chuva de Adagas","",""
"Silent","Dagger Throw","1","Common","2","Attack","","","Arremesso de Adaga","",""
"Silent","Deadly Poison","1","Common","2","Skill","","","Veneno Mortal","",""
"Silent","Deflect","0","Common","2","Skill","","","Defletir","",""
"Silent","Dodge and Roll","1","Common","2","Skill","","","Esquivar e Rolar","",""
"Silent","Poisoned Stab","1","Common","2","Attack","","","Punhalada Envenenada","",""
"Silent","Prepared","0","Common","2","Skill","","1","Preparada","",""
"Silent","Slice","0","Common","2","Attack","","","Fatiar","",""
"Silent","Sneaky Strike","2","Common","2","Attack","","","Golpe Furtivo","",""
"Silent","Defend (Silent)","1","Common","5","Skill","TRUE","","Defender","",""
"Silent","Neutralize","0","Common","1","Attack","TRUE","","Neutralizar","",""
"Silent","Strike (Silent)","1","Common","5","Attack","TRUE","","Golpe","",""
"Silent","Survivor","1","Common","1","Skill","TRUE","","Sobrevivente","",""
"Silent","A Thousand Cuts","2","Rare","1","Power","","","Mil cortes","",""
"Silent","Adrenaline","0","Rare","1","Skill","","","Adrenalina","",""
"Silent","After Image","1","Rare","1","Power","","","Rastro","",""
"Silent","Bullet Time","3","Rare","1","Skill","","","Câmera Lenta","",""
"Silent","Burst","1","Rare","1","Skill","","","Explosão","",""
"Silent","Corpse Explosion","2","Rare","1","Skill","","2","Explosão de Cadáveres","",""
"Silent","Die Die Die","1","Rare","1","Attack","","","Morram Morram Morram","",""
"Silent","Doppelganger","","Rare","1","Skill","","3","Doppelganger","",""
"Silent","Envenom","3","Rare","1","Power","","","Envenenar","",""
"Silent","Grand Finale","0","Rare","1","Attack","","1","Grand Finale","",""
"Silent","Malaise","","Rare","1","Skill","","","Mal-estar","",""
"Silent","Storm of Steel","1","Rare","1","Skill","","","Tempestade de Aço","",""
"Silent","Tools of the Trade","1","Rare","1","Power","","","Ferramentas do Ofício","",""
"Silent","Unload","1","Rare","1","Attack","","","Descarregar","",""
"Silent","Wraith Form","3","Rare","1","Power","","","Forma Espectral","",""
"Silent","Accuracy","1","Uncommon","1","Power","","","Precisão","",""
"Silent","All-Out Attack","1","Uncommon","1","Attack","","","Ataque Total","",""
"Silent","Backstab","0","Uncommon","1","Attack","","","Facada nas Costas","",""
"Silent","Bane","1","Uncommon","1","Attack","","","Ruína","",""
"Silent","Blur","1","Uncommon","1","Skill","","","Borrão","",""
"Silent","Bouncing Flask","2","Uncommon","1","Skill","","","Frasco Saltitante","",""
"Silent","Calculated Gamble","0","Uncommon","1","Skill","","","Aposta Calculada","",""
"Silent","Catalyst","1","Uncommon","1","Skill","","","Catalisador","",""
"Silent","Choke","2","Uncommon","1","Attack","","2","Estrangular","",""
"Silent","Concentrate","0","Uncommon","1","Skill","","4","Concentrar","",""
"Silent","Crippling Cloud","2","Uncommon","1","Skill","","","Nuvem Debilitante","",""
"Silent","Dash","2","Uncommon","1","Attack","","","Disparada","",""
"Silent","Distraction","2","Uncommon","1","Power","","2","Distração","",""
"Silent","Escape Plan","0","Uncommon","1","Skill","","","Plano de Fuga","",""
"Silent","Expertise","1","Uncommon","1","Skill","","3","Perícia","",""
"Silent","Finisher","1","Uncommon","1","Attack","","","Finalizador","",""
"Silent","Flechettes","1","Uncommon","1","Attack","","","Dardos","",""
"Silent","Footwork","2","Uncommon","1","Power","","","Jogo de pés","",""
"Silent","Infinite Blades","1","Uncommon","1","Power","","","Lâminas Infinitas","",""
"Silent","Leg Sweep","2","Uncommon","1","Skill","","","Rasteira","",""
"Silent","Masterful Stab","0","Uncommon","1","Attack","","","Punhalada Magistral","",""
"Silent","Noxious Fumes","1","Uncommon","1","Power","","","Gases Nocivos","",""
"Silent","Outmaneuver","0","Uncommon","1","Skill","","3","Enganar","",""
"Silent","Piercing Wail","1","Uncommon","1","Skill","","","Lamúrio Penetrante","",""
"Silent","Predator","2","Uncommon","1","Attack","","","Predador","",""
"Silent","Reflex","","Uncommon","1","Skill","","1","Reflexo","",""
"Silent","Riddle With Holes","2","Uncommon","1","Skill","","","Encher de Buracos","",""
"Silent","Setup","0","Uncommon","1","Skill","","","Preparar","",""
"Silent","Skewer","","Uncommon","1","Attack","","","Espetar","",""
"Silent","Tactician","0","Uncommon","1","Skill","","1","Estrategista","",""
"Silent","Terror","1","Uncommon","1","Skill","","","Terror","",""
"Silent","Well-Laid Plans","1","Uncommon","1","Power","","","Planos Bem Definidos","",""
"Watcher","Golden Ticket (Watcher)","","","1","Ticket","","","Bilhete Dourado","",""
"Watcher","Golden Ticket 2 (Watcher)","","","1","Ticket","","2","Bilhete Dourado","",""
"Watcher","Collect","1","Common","2","Skill","","","Coletar","",""
"Watcher","Consecrate","0","Common","2","Attack","","","Consagrar","",""
"Watcher","Crescendo","0","Common","2","Skill","","","Crescendo","",""
"Watcher","Cut Through Fate","1","Common","2","Attack","","","Corte Através da Fé","",""
"Watcher","Empty Body","1","Common","2","Skill","","","Corpo Vazio","",""
"Watcher","Empty Fist","1","Common","2","Attack","","","Punho vazio","",""
"Watcher","Flurry of Blows","0","Common","2","Attack","","1","Rajada de Socos","",""
"Watcher","Flying Sleeves","1","Common","2","Attack","","","Mangas Voadoras","",""
"Watcher","Halt","0","Common","2","Skill","","","Alto Lá","",""
"Watcher","Just Lucky","0","Common","2","Attack","","","Apenas Sortuda","",""
"Watcher","Protect","2","Common","2","Skill","","","Proteger","",""
"Watcher","Third Eye","1","Common","2","Skill","","","Terceiro Olho","",""
"Watcher","Tranquility","1","Common","2","Skill","","","Tranquilidade","",""
"Watcher","Defend (Watcher)","1","Common","4","Skill","TRUE","","Defender","",""
"Watcher","Eruption","2","Common","1","Attack","TRUE","","Erupção","",""
"Watcher","Strike (Watcher)","1","Common","4","Attack","TRUE","","Golpe","",""
"Watcher","Vigilance","2","Common","1","Skill","TRUE","","Vigilância","",""
"Watcher","Blasphemy","2","Rare","1","Skill","","1","Blasfêmia","",""
"Watcher","Brilliance","1","Rare","1","Attack","","","Esplendor","",""
"Watcher","Conjure Blade","","Rare","1","Power","","2","Conjurar Lâmina","",""
"Watcher","Deus Ex Machina","0","Rare","1","Skill","","","Deus Ex Machina","",""
"Watcher","Deva Form","2","Rare","1","Power","","","Forma Divina","",""
"Watcher","Devotion","1","Rare","1","Power","","","Devoção","",""
"Watcher","Establishment","1","Rare","1","Power","","","Estabelecimento","""Establishment""
Não acho que vale a pena traduzir. Inclusive, de acordo a nota que tem na wikipedia: ""Sem possibilidade de aportuguesamento para ""estabelecimento"" devido à distinta semântica entre os dois termos""","Leave it as ""Establishment"".
You can't translate it. Even the PT-BR wikipedia page say its not translatable, given that ""estabelecimento"" already has a distinct semantic meaning."
"Watcher","Judgment","1","Rare","1","Skill","","","Julgamento","",""
"Watcher","Omega","3","Rare","1","Power","","","Ômega","",""
"Watcher","Omniscience","3","Rare","1","Skill","","3","Onisciência","",""
"Watcher","Ragnarok","3","Rare","1","Attack","","","Ragnarok","",""
"Watcher","Scrawl","1","Rare","1","Skill","","","Rabiscar","",""
"Watcher","Spirit Shield","2","Rare","1","Skill","","","Escudo Espiritual","",""
"Watcher","Vault","3","Rare","1","Skill","","","Salto","",""
"Watcher","Wish","3","Rare","1","Skill","","","Desejo","",""
"Watcher","Battle Hymn","1","Uncommon","1","Power","","","Hino de Batalho","",""
"Watcher","Carve Reality","2","Uncommon","1","Attack","","","Molde a Realidade","",""
"Watcher","Conclude","1","Uncommon","1","Attack","","","Concluir","",""
"Watcher","Crush Joints","1","Uncommon","1","Attack","","","Esmagar Juntas","",""
"Watcher","Empty Mind","1","Uncommon","1","Skill","","","Mente Vazia","",""
"Watcher","Fear No Evil","1","Uncommon","1","Attack","","","Não tema o mal","",""
"Watcher","Foreign Influence","2","Uncommon","1","Attack","","","Influência Externa","",""
"Watcher","Foresight","1","Uncommon","1","Power","","2","Previsão","",""
"Watcher","Indignation","1","Uncommon","1","Skill","","","Indignação","",""
"Watcher","Inner Peace","1","Uncommon","1","Skill","","","Paz Interior","",""
"Watcher","Like Water","1","Uncommon","1","Power","","","Como a Água","",""
"Watcher","Meditate","1","Uncommon","1","Skill","","3","Meditar","",""
"Watcher","Mental Fortress","1","Uncommon","1","Power","","","Fortaleza Mental","",""
"Watcher","Nirvana","1","Uncommon","1","Power","","2","Nirvana","",""
"Watcher","Perseverance","1","Uncommon","1","Skill","","3","Preserverança","",""
"Watcher","Pray","1","Uncommon","1","Skill","","","Prece","",""
"Watcher","Prostrate","1","Uncommon","1","Skill","","","Prostrar","",""
"Watcher","Reach Heaven","1","Uncommon","1","Attack","","","Alcançar o Céu","",""
"Watcher","Rushdown","1","Uncommon","1","Power","","","Avanço Aressivo","",""
"Watcher","Sands of Time","2","Uncommon","1","Attack","","","Areias do Tempo","",""
"Watcher","Sash Whip","1","Uncommon","1","Attack","","","Chicote de Seda","(essa é mais difícil que parece)","This one is harder than it looks. But i think they did ok."
"Watcher","Signature Move","2","Uncommon","1","Attack","","","Marca Registrada","",""
"Watcher","Simmering Fury","2","Uncommon","1","Power","","","Fúria Fervente","",""
"Watcher","Study","2","Uncommon","1","Power","","","Estudo","",""
"Watcher","Swivel","2","Uncommon","1","Skill","","","Rotacionar","",""
"Watcher","Talk to the Hand","1","Uncommon","1","Attack","","","Fale com a Mão","",""
"Watcher","Tantrum","1","Uncommon","1","Attack","","","Birra","Tantrum é birra no contexto de uma criança. No contexto e tema da Watcher que tem coisas como Mantra, acho que aqui a tradução seria ""Tantra"" mesmo.","They went with ""Birra"", like a child having an outburst. Seriously?
Given the characters theme the correct translation would obiously be ""Tantra""."
"Watcher","Wallop","2","Uncommon","1","Attack","","","Kabong","",""
"Watcher","Weave","0","Uncommon","1","Attack","","2","Tecer","",""
"Watcher","Windmill Strike","2","Uncommon","1","Attack","","","Golpe Redemoinho","",""
"Watcher","Worship","","Uncommon","1","Skill","","1","Idolatrar","",""
"Watcher","Wreath of Flame","","Uncommon","1","Skill","","3","Coroa de Chamas","",""
