"Card","Type","Act","Qty","Summons","Gold Reward","Card Reward","Potion Reward","Relic Reward","Ascension","Unlocks","pt-BR"
"Chosen","Monster","II","1","Cultist","1","1 common","1","","","","Escolhido"
"Chosen","Monster","II","1","Byrd","2","1 common","","","","","Escolhido"
"Looter","Monster","II","1","Mugger","","1 common","1","","","","Saqueador"
"Looter","Monster","II","1","Mugger","","1 common","1","","","","Saqueador"
"Cultist","Monster","II","1","2 Cultists","2","1 common","","","","","Cultista"
"Snake Plant","Monster","II","1","","1","1 common","","","","","Planta Cobra"
"Shelled Parasite","Monster","II","1","","","1 common","1","","","","Parasita com Casca"
"Snecko","Monster","II","1","","1","1 common","","","","","Cortixa"
"Byrd","Monster","II","1","2 Byrds","1","1 common","","","","","Páçaro"
"Spheric Guardian","Monster","II","1","","1","1 common","","","","","Guardião Esférico"
"Centurion","Monster","II","1","Mystic","1","1 common","","","","","Centurião"
"Centurion","Monster","II","1","Mystic","1","1 common","1","","","","Centurião"
"Shelled Parasite","Monster","II","1","Fungi Beast (ascension 7)","","1 common","1","","7","","Parasita com Casca"
"Spheric Guardian","Monster","II","1","Sentry A (ascension 7)","1","1 common","","","7","","Guardião Esférico"
"Snake Plant","Monster","II","1","","1","1 common","","","7","","Planta Cobra"
"Byrd","Summon","II","3","-","","","","","","","Páçaro"
"Cultist","Summon","II","4","-","","","","","","","Cultista"
"Bronze Orb","Summon","II","4","-","","","","","","","Orbe de Bronze"
"Mystic","Summon","II","2","-","","","","","","","Místico"
"Mugger","Summon","II","2","-","","","","","","","Assaltante"
"Torch Head","Summon","II","8","-","","","","","","","Cabeça de Tocha"
"Blue Slaver","Summon","II","4","-","","","","","","","Escravista Azul"
"Red Slaver","Summon","II","4","-","","","","","","","Escravista Vermelho"
"Fungi Beast","Summon","II","1","-","","","","","7","","Besta Fungo"
"Sentry A","Summon","II","1","-","","","","","7","","Sentinela A"
"Book of Stabbing","Elite","II","1","","2","1 upgraded","","1","","","Livro de Punhaladas"
"Taskmaster","Elite","II","1","1 blue+1 red slaver per player","2","1 upgraded","","1","","","Capataz"
"Gremlin Leader","Elite","II","1","2 gremlins per player","2","1 upgraded","","1","","","Gremlin Lider"
"Book of Stabbing","Elite","II","1","","2","1 upgraded","","1","1","","Livro de Punhaladas"
"Gremlin Leader","Elite","II","1","2 gremlins per player","2","1 upgraded","","1","1","","Gremlin Lider"
"Taskmaster","Elite","II","1","1 blue + 1 red slaver per player","2","1 upgraded","","1","1","","Captaz"
"Book of Stabbing","Elite","II","1","","2","1 upgraded","","1","12","","Livro de Punhaladas"
"Gremlin Leader","Elite","II","1","2 gremlins per player","2","1 upgraded","","1","12","","Gremlin Lider"
"Taskmaster","Elite","II","1","1 blue + 1 red slaver per player","2","1 upgraded","","1","12","","Captaz"
"Bonfire Spirits","Event","III","1","","","","","","","","Espiritos da Fogueira"
"Wheel of Change","Event","III","1","","","","","","","","Roda da Mudança"
"Purifier","Event","III","1","","","","","","","","Purificador"
"Falling","Event","III","1","","","","","","","","Caindo"
"A Note For Yourself","Event","III","1","","","","","","","","Um Recado para Você"
"Face Trader","Event","III","1","","","","","","","","Negociante de Faces"
"Tomb of Lord Red Mask","Event","III","1","","","","","","","","Tuma do Sr. Máscara Vermelha"
"The Moai Head","Event","III","1","","","","","","","","A Cabeça Moai"
"Mind Bloom","Event","III","1","","","","","","","","Desabrochar da Mente"
"Winding Halls","Event","III","1","","","","","","","","Corredores Sinuosos"
"Secret Portal","Event","III","1","","","","","","","","Portal Secreto"
"Merchant","Event","III","1","","","","","","3","","O Vendedor"
"Encounter","Event","III","1","","","","","","3","","Encontro!"
"Sensory Stone","Event","III","1","","","","","","","C","Pedra Sensorial"
"Writhing Mass","Monster","III","1","","","1 common","1","","","","Massa Retorcida"
"Maw","Monster","III","1","","1","","1","","","","O Bocarra"
"Darkling","Monster","III","1","2 Darklings","","1 common","1","","","","Sombrio"
"Transient","Monster","III","1","","2","1 common","","","","","Transitório"
"Orb Walker","Monster","III","2","","1","1 common","","","","","Orbe Caminhante"
"Jaw Worm","Monster","III","1","2 Jaw Worms","2","1 common","","","","","Vorme Mandíbula"
"Spire Growth","Monster","III","1","","1","1 common","1","","","","Serpente"
"Repulsor","Monster","III","1","Exploder, Spiker","","1 common","1","","","","Repulsor"
"Exploder","Monster","III","1","Repulsor, Spiker","1","1 common","","","","","Detonador"
"Exploder","Monster","III","1","Repulsor, 2 Spikers (Asc 7)","1","1 common","","","7","","Detonador"
"Repulsor","Monster","III","1","Exploder (regular) Spheric Guardian (Asc 7)","","1 common","1","","7","","Repulsor"
"Maw","Monster","III","1","","1","1 common","","","7","","O Bocarra"
"Spiker","Summon","III","2","-","","","","","","","Espinhoso"
"Darkling","Summon","III","2","-","","","","","","","Sombrio"
"Exploder","Summon","III","1","-","","","","","","","Detonador"
"Repulsor","Summon","III","1","-","","","","","","","Repulsor"
"Jaw Worm","Summon","III","2","-","","","","","","","Vorme Mandíbula"
"Cultist","Summon","III","4","-","","","","","","","Cultista"
"Dagger","Summon","III","8","-","","","","","","","Adaga"
"Spheric Guardian","Summon","III","1","","","","","","7","","Guardião Esférico"
"Reptomancer","Elite","III","1","Daggers (action)","3","1 upgraded","","1","","","Reptomante"
"Nemesis","Elite","III","1","","3","1 upgraded","","1","","","Nêmesis"
"Giant Head","Elite","III","1","","3","1 upgraded","","1","","","Cabeça Gigante"
"Reptomancer","Elite","III","1","Daggers (action)","3","1 upgraded","","1","1","","Reptomante"
"Nemesis","Elite","III","1","","3","1 upgraded","","1","1","","Nêmesis"
"Giant Head","Elite","III","1","","3","1 upgraded","","1","1","","Cabeça Gigante"
"Reptomancer","Elite","III","1","Daggers (action)","3","1 upgraded","","1","12","","Reptomante"
"Nemesis","Elite","III","1","","3","1 upgraded","","1","12","","Nêmesis"
"Giant Head","Elite","III","1","","3","1 upgraded","","1","12","","Cabeça Gigante"
